precipitationFlag,zone2Minutes,trainingFatigueScore,sleepQuality,affectToday,affectTomorrow
1,22,73,55,4,3
1,33,73,56,5,4
0,41,66,58,5,5
0,55,67,64,4,5
0,60,72,59,6,4
0,46,68,60,6,6
0,77,73,65,6,6
0,76,77,61,7,6
0,93,86,58,7,7
0,51,82,57,6,7
0,58,81,57,6,6
0,32,77,54,4,6
0,54,76,57,6,4
0,39,72,57,5,6
0,58,71,62,6,5
1,7,64,57,3,6
0,54,65,63,6,3
0,42,61,61,5,6
0,70,65,61,5,5
0,45,63,62,5,5
1,26,67,57,3,5
0,61,66,63,6,3
1,28,71,56,5,6
0,52,68,61,5,5
0,46,68,61,5,5
0,67,73,63,6,5
1,46,74,57,4,6
0,56,73,59,7,4
0,53,73,59,6,7
0,55,74,61,7,6
0,59,76,57,6,7
0,66,80,58,7,6
0,61,82,57,6,7
0,59,76,59,4,6
1,9,73,55,2,4
1,21,75,54,5,2
0,55,76,61,6,5
0,43,73,58,4,6
0,52,71,61,6,4
0,52,70,60,6,6
0,43,66,62,5,6
0,38,65,61,4,5
1,33,69,59,4,4
1,13,68,56,3,4
0,65,74,63,7,3
1,29,75,56,4,7
0,57,77,58,5,4
0,50,77,57,6,5
0,63,77,60,6,6
0,40,76,56,4,6
1,17,72,55,3,4
1,26,74,56,4,3
0,60,76,56,6,4
1,4,72,54,4,6
0,69,75,60,6,4
0,49,74,60,5,6
0,65,77,58,7,5
1,38,79,54,3,7
0,49,78,55,6,3
0,40,74,57,7,6
0,38,74,57,5,7
1,31,76,55,5,5
1,25,77,53,3,5
1,17,76,56,3,3
1,28,74,55,3,3
1,19,73,57,5,3
0,48,75,58,5,5
0,60,76,59,6,5
1,13,70,57,3,6
0,48,69,61,6,3
0,47,71,62,6,6
0,67,76,61,6,6
1,37,79,53,4,6
0,39,73,59,6,4
1,48,77,55,4,6
0,56,77,60,5,4
0,59,75,60,6,5
1,21,74,55,3,6
0,76,78,60,5,3
0,44,74,57,6,5
0,53,76,58,6,6
1,29,77,57,2,6
0,31,70,58,5,2
0,61,71,62,6,5
1,32,75,56,3,6
1,38,78,56,5,3
0,26,68,56,5,5
0,52,65,61,5,5
0,84,76,61,6,5
0,41,69,59,5,6
0,54,66,61,6,5
0,59,69,60,6,6
0,45,69,60,5,6
0,51,70,61,5,5
0,73,76,60,7,5
0,78,84,56,6,7
0,73,84,55,6,6
1,35,84,52,3,6
1,21,80,56,4,3
1,41,81,54,4,4
0,23,71,54,3,4
0,41,71,58,6,3
1,35,75,55,4,6
0,64,75,60,6,4
0,48,71,57,6,6
0,59,71,61,6,6
0,62,76,61,5,6
1,50,79,58,4,5
0,50,74,58,5,4
1,42,80,54,4,5
0,46,76,58,5,4
0,76,79,61,6,5
0,65,79,58,6,6
0,45,78,57,6,6
0,73,84,57,6,6
0,48,81,55,6,6
1,34,81,56,3,6
0,31,77,55,5,3
1,14,74,57,4,5
1,32,74,56,2,4
0,58,76,56,5,2
1,16,72,55,2,5
0,62,75,59,4,2
0,43,75,53,5,4
1,16,75,53,4,5
1,37,81,54,4,4
0,37,78,54,5,4
0,55,74,59,6,5
0,59,72,60,6,6
1,7,66,58,3,6
0,60,72,61,6,3
0,88,78,60,7,6
0,60,78,57,7,7
0,59,76,60,6,7
0,52,76,56,6,6
1,53,82,55,4,6
0,50,80,56,6,4
0,34,76,55,5,6
0,41,76,59,6,5
1,12,74,54,2,6
1,30,76,56,4,2
0,58,79,59,4,4
0,51,77,55,6,4
0,70,77,60,6,6
0,47,78,56,6,6
1,8,78,53,3,6
0,62,76,61,6,3
0,53,74,58,6,6
1,33,77,55,4,6
0,50,80,54,6,4
0,71,80,62,7,6
0,67,82,57,6,7
0,60,84,56,5,6
0,65,86,56,6,5
0,52,82,54,5,6
0,58,81,56,4,5
0,40,79,54,5,4
0,38,78,55,5,5
0,83,86,57,6,5
0,51,84,54,5,6
0,73,86,60,6,5
0,76,89,57,6,6
1,20,86,51,3,6
1,15,80,50,2,3
0,56,81,56,4,2
0,53,79,60,5,4
0,50,81,56,6,5
0,56,81,58,5,6
0,66,79,59,6,5
0,48,77,56,5,6
0,51,73,59,5,5
0,64,72,60,6,5
0,71,76,60,6,6
0,30,71,60,5,6
1,31,73,58,3,5
0,35,70,57,6,3
1,26,67,57,2,6
0,52,67,61,6,2
1,44,71,56,5,6
1,37,75,58,3,5
1,54,78,58,3,3
1,19,79,52,4,3
1,33,80,56,4,4
0,34,73,58,5,4
1,11,69,55,3,5
0,38,65,60,6,3
0,65,68,62,6,6
0,45,64,60,5,6
1,16,64,59,2,5
0,55,65,63,6,2
0,38,60,62,6,6
0,28,58,64,5,6
0,62,60,65,5,5
0,27,58,60,5,5
0,38,54,65,5,5
0,60,59,66,6,5
0,74,63,66,7,6
0,70,65,64,7,7
0,61,68,62,6,7
0,58,69,62,6,6
0,47,69,65,4,6
0,59,69,62,6,4
0,64,74,61,7,6
1,2,72,54,4,7
1,15,69,57,3,4
0,58,72,57,6,3
0,55,72,58,6,6
0,26,68,56,5,6
1,29,72,57,3,5
0,49,73,59,5,3
1,27,71,58,3,5
0,64,73,64,5,3
0,54,76,60,5,5
0,58,76,59,5,5
1,29,74,56,4,5
0,52,70,62,6,4
0,46,68,58,5,6
1,24,71,55,4,5
0,49,71,59,6,4
0,49,67,59,5,6
0,40,65,60,7,5
1,9,64,56,3,7
0,57,61,65,7,3
1,25,63,61,3,7
0,48,59,65,5,3
1,18,60,59,3,5
1,37,62,63,3,3
0,47,66,63,5,3
1,19,64,59,3,5
1,29,67,59,3,3
1,24,69,55,3,3
0,45,68,60,6,3
0,61,67,63,5,6
0,48,68,60,6,5
0,46,65,60,5,6
0,68,70,65,7,5
0,43,69,58,5,7
0,47,66,60,5,5
0,40,66,59,7,5
0,50,66,60,7,7
1,43,71,57,4,7
1,17,73,56,3,4
0,26,65,60,6,3
0,68,66,64,7,6
1,10,64,58,3,7
0,33,60,61,5,3
0,48,60,64,6,5
0,51,60,64,4,6
0,61,63,64,6,4
